"","V1"
"inaug_JohnQuincyAdams_1_55",4
"inaug_JohnQuincyAdams_1_56",12
"inaug_JohnQuincyAdams_1_57",2
"inaug_JohnQuincyAdams_1_58",2
"inaug_JohnQuincyAdams_1_59",4
"inaug_JohnQuincyAdams_1_60",4
"inaug_JohnQuincyAdams_1_61",4
"inaug_JohnQuincyAdams_1_62",4
"inaug_JohnQuincyAdams_1_63",4
"inaug_JohnQuincyAdams_1_64",4
"inaug_JohnQuincyAdams_1_65",4
"inaug_JohnQuincyAdams_1_66",4
"inaug_JohnQuincyAdams_1_67",4
"inaug_JohnQuincyAdams_1_68",2
"inaug_JohnQuincyAdams_1_69",4
"inaug_JohnQuincyAdams_1_70",2
"inaug_JohnQuincyAdams_1_71",2
"inaug_JohnQuincyAdams_1_72",2
"inaug_JohnQuincyAdams_1_73",11
"inaug_JohnQuincyAdams_1_74",14
"inaug_JohnQuincyAdams_1_75",9
"inaug_JohnQuincyAdams_1_76",14
"inaug_JohnQuincyAdams_1_77",4
"inaug_JohnQuincyAdams_1_78",11
"inaug_JohnQuincyAdams_1_79",1
"inaug_JohnQuincyAdams_1_80",4
"inaug_JohnQuincyAdams_1_81",4
"inaug_JohnQuincyAdams_1_82",4
"inaug_JohnQuincyAdams_1_83",8
"inaug_JohnQuincyAdams_1_84",14
"inaug_JohnQuincyAdams_1_85",5
"inaug_JohnQuincyAdams_1_86",5
"inaug_JohnQuincyAdams_1_87",4
"inaug_JohnQuincyAdams_1_88",5
"inaug_JohnQuincyAdams_1_89",11
"inaug_JohnQuincyAdams_1_90",2
"inaug_JohnQuincyAdams_1_91",2
"inaug_JohnQuincyAdams_1_92",2
"inaug_JohnQuincyAdams_1_93",2
"inaug_JohnQuincyAdams_1_94",2
"inaug_JohnQuincyAdams_1_95",2
"inaug_JohnQuincyAdams_1_96",2
"inaug_JohnQuincyAdams_1_97",4
"inaug_JohnQuincyAdams_1_98",5
"inaug_JohnQuincyAdams_1_99",5
"inaug_JohnQuincyAdams_1_100",2
"inaug_JohnQuincyAdams_1_101",8
"inaug_JohnQuincyAdams_1_102",5
"inaug_JohnQuincyAdams_1_103",2
"inaug_JohnQuincyAdams_1_104",2
"inaug_JohnQuincyAdams_1_105",4
"inaug_JohnQuincyAdams_1_106",2
"inaug_JohnQuincyAdams_1_107",2
"inaug_JohnQuincyAdams_1_108",2
"inaug_JohnQuincyAdams_1_109",2
"inaug_JohnQuincyAdams_1_110",2
"inaug_JohnQuincyAdams_1_111",2
"inaug_AndrewJackson_1_2",2
"inaug_AndrewJackson_1_3",2
"inaug_AndrewJackson_1_4",2
"inaug_AndrewJackson_1_5",2
"inaug_AndrewJackson_1_6",2
"inaug_AndrewJackson_1_7",4
"inaug_AndrewJackson_1_8",4
"inaug_AndrewJackson_1_9",2
"inaug_AndrewJackson_1_10",1
"inaug_AndrewJackson_1_11",1
"inaug_AndrewJackson_1_12",2
"inaug_AndrewJackson_1_13",2
"inaug_AndrewJackson_1_14",2
"inaug_AndrewJackson_1_15",11
"inaug_AndrewJackson_1_16",11
"inaug_AndrewJackson_1_17",4
"inaug_AndrewJackson_1_18",11
"inaug_AndrewJackson_1_19",3
"inaug_AndrewJackson_1_20",11
"inaug_AndrewJackson_1_21",11
"inaug_AndrewJackson_1_22",4
"inaug_AndrewJackson_1_23",4
"inaug_AndrewJackson_1_24",2
"inaug_AndrewJackson_1_25",2
"inaug_AndrewJackson_1_26",2
"inaug_AndrewJackson_1_27",2
"inaug_AndrewJackson_2_2",2
"inaug_AndrewJackson_2_3",2
"inaug_AndrewJackson_2_4",2
"inaug_AndrewJackson_2_5",2
"inaug_AndrewJackson_2_6",4
"inaug_AndrewJackson_2_7",4
"inaug_AndrewJackson_2_8",4
"inaug_AndrewJackson_2_9",4
"inaug_AndrewJackson_2_10",4
"inaug_AndrewJackson_2_11",4
"inaug_AndrewJackson_2_12",4
"inaug_AndrewJackson_2_13",4
"inaug_AndrewJackson_2_14",4
